statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_use_background_image,profile_background_tile,description,label,account_age_days,genuine,social_spambot,traditional_spambot
9412,303,325,7304,2,1,1,0,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1816,True,False,False
55052,1978,197,7274,7,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1,genuine,1535,True,False,False
69809,1605,969,12583,2,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2343,True,False,False
7207,212,150,1877,0,0,1,0,1,1.0,0.0,1.0,1.0,0.0,0,genuine,843,True,False,False
16677,1206,49,7008,6,1,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1616,True,False,False
24163,435,320,676,1,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,1289,True,False,False
45750,7644,359,54926,46,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,610,True,False,False
1203,182,117,136,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,668,True,False,False
274989,9815,2190,40114,38,0,1,1,0,0.0,0.0,0.0,0.0,1.0,1,genuine,1728,True,False,False
11334,349,348,2465,4,0,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,1813,True,False,False
72102,726,28,165,23,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1385,True,False,False
15525,879,667,153,5,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2331,True,False,False
31248,3205,2377,3650,282,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2227,True,False,False
105025,543,327,49956,1,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0,genuine,1966,True,False,False
54,10,91,14,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,1824,True,False,False
371,90,147,363,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,448,True,False,False
2582,223,495,1668,3,0,1,1,0,1.0,0.0,0.0,1.0,0.0,0,genuine,564,True,False,False
427,75,77,279,0,0,1,0,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2284,True,False,False
416,25,28,2,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1565,True,False,False
34627,661,498,15474,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1455,True,False,False
25098,832,644,6107,1,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1032,True,False,False
283536,7785,424,1157,217,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2402,True,False,False
13634,697,103,5258,30,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2122,True,False,False
10339,385,200,72,7,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1860,True,False,False
19390,385,252,11,1,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0,genuine,1579,True,False,False
1960,4910,1675,1043,22,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,999,True,False,False
2766,79,196,587,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,1610,True,False,False
3114,28,32,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,genuine,2062,True,False,False
4236,249,278,1787,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,2009,True,False,False
33298,698,600,4037,5,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2201,True,False,False
378,173,312,27,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,717,True,False,False
46272,943,750,9355,3,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,1586,True,False,False
1043,81,77,2192,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,644,True,False,False
5194,247,177,3173,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0,genuine,1497,True,False,False
3547,1651,1754,1607,4,0,1,0,1,0.0,0.0,1.0,1.0,1.0,1,genuine,620,True,False,False
6127,1233,1166,97,10,0,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2418,True,False,False
3450,159,124,5059,5,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,642,True,False,False
8102,241,273,1067,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1370,True,False,False
51961,1401,1335,48065,9,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2221,True,False,False
23261,589,396,52,0,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1754,True,False,False
14187,358,967,280,8,1,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1781,True,False,False
169053,1193,351,3439,25,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1402,True,False,False
3566,136,116,1330,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1904,True,False,False
2366,157,388,287,3,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,950,True,False,False
639,120,64,407,1,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,777,True,False,False
20291,1114,1292,11382,14,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1405,True,False,False
57768,348,389,13804,4,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1,genuine,952,True,False,False
844,93,385,27,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1935,True,False,False
7588,235,112,10979,0,1,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,714,True,False,False
20388,399,402,529,3,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1418,True,False,False
2287,71,56,295,3,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,2190,True,False,False
42077,763,97,922,18,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2465,True,False,False
16948,244,246,5500,3,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,1015,True,False,False
4655,281,421,2466,1,1,1,0,1,0.0,0.0,0.0,1.0,1.0,1,genuine,779,True,False,False
23875,2134,654,241,8,0,1,1,1,1.0,0.0,0.0,1.0,0.0,1,genuine,1020,True,False,False
14537,865,250,0,20,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1296,True,False,False
8877,400,173,5293,2,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1427,True,False,False
5057,625,566,919,1,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1629,True,False,False
7135,202,300,299,1,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1319,True,False,False
346,451,403,1875,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1,genuine,931,True,False,False
3629,269,187,1229,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2150,True,False,False
18745,553,1856,81,8,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2351,True,False,False
9240,170,143,4567,2,0,1,0,1,1.0,0.0,1.0,1.0,0.0,0,genuine,530,True,False,False
8318,884,250,137,10,0,1,1,1,0.0,0.0,0.0,0.0,1.0,1,genuine,2342,True,False,False
1238,192,175,624,0,0,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,904,True,False,False
2182,254,292,620,1,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,946,True,False,False
9156,285,205,4088,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1,genuine,799,True,False,False
911,53,272,1177,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0,genuine,1388,True,False,False
38417,344,335,23322,4,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1698,True,False,False
13572,701,708,6970,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2303,True,False,False
1523,87,195,66,3,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,2041,True,False,False
2055,142,129,489,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,818,True,False,False
24986,650,348,4907,1,0,1,1,0,1.0,0.0,0.0,1.0,0.0,1,genuine,1442,True,False,False
21105,415,481,248,1,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1917,True,False,False
19515,689,470,2463,26,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2417,True,False,False
1000,108,155,1326,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1,genuine,344,True,False,False
2310,651,744,941,4,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1774,True,False,False
1182,220,1040,1388,7,1,1,1,1,1.0,0.0,0.0,1.0,0.0,1,genuine,2487,True,False,False
615,2544,262,979,4,0,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,1016,True,False,False
21207,631,213,408,12,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2352,True,False,False
37989,451,268,3140,9,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2323,True,False,False
11452,389,297,5456,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,1506,True,False,False
43447,1068,822,8097,2,1,1,1,0,0.0,0.0,1.0,0.0,0.0,1,genuine,1039,True,False,False
17447,1953,1199,16715,15,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,994,True,False,False
15809,385,353,4688,5,1,1,0,1,0.0,0.0,1.0,1.0,1.0,1,genuine,708,True,False,False
3559,99,105,663,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2177,True,False,False
4059,599,585,105,8,1,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,2094,True,False,False
87311,1878,1882,330,17,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2324,True,False,False
13635,665,1168,4724,16,0,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,2462,True,False,False
23799,462,272,4116,10,1,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,1524,True,False,False
4282,32,114,6,3,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,479,True,False,False
36093,422,326,12075,7,0,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1294,True,False,False
3028,1915,1804,1441,72,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1015,True,False,False
69,100,214,170,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1,genuine,238,True,False,False
157,23,102,23,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,1449,True,False,False
6747,592,254,7636,3,1,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,1363,True,False,False
5414,486,305,2526,1,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1412,True,False,False
5051,167,351,80,4,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,1248,True,False,False
29146,1347,736,2728,15,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2011,True,False,False
9550,500,416,9175,4,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1210,True,False,False
718,118,224,180,2,1,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,674,True,False,False
5939,720,727,420,6,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,700,True,False,False
1271,14,38,62,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,633,True,False,False
28255,1439,755,1983,3,0,1,1,0,0.0,0.0,1.0,0.0,0.0,1,genuine,1361,True,False,False
3259,175,116,1297,0,1,1,0,1,0.0,0.0,0.0,1.0,1.0,1,genuine,359,True,False,False
15595,1280,1985,3786,5,1,1,1,0,0.0,0.0,0.0,1.0,0.0,1,genuine,1749,True,False,False
549,508,892,401,15,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2383,True,False,False
2583,280,337,4537,0,0,1,0,1,0.0,0.0,0.0,1.0,1.0,0,genuine,342,True,False,False
44376,790,159,5517,18,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,729,True,False,False
108575,15305,1543,11161,132,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,1393,True,False,False
1107,121,231,572,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1,genuine,805,True,False,False
2713,61,52,1032,1,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,2321,True,False,False
811,34,351,656,0,0,1,0,1,1.0,0.0,0.0,1.0,0.0,0,genuine,798,True,False,False
5290,298,243,654,3,0,1,0,1,0.0,0.0,0.0,1.0,0.0,1,genuine,2324,True,False,False
82094,7689,207,30086,229,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1371,True,False,False
133,72,460,146,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,224,True,False,False
10221,458,395,1813,3,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2129,True,False,False
50540,3491,3296,19086,72,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1149,True,False,False
95069,1045,350,49312,20,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1799,True,False,False
24117,788,405,6725,16,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1140,True,False,False
1303,147,138,71,4,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1859,True,False,False
80,3,50,27,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0,genuine,1803,True,False,False
8234,536,397,2684,0,0,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,1590,True,False,False
28655,462,290,413,15,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2047,True,False,False
9561,417,258,1130,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0,1,genuine,1209,True,False,False
44535,314,290,16169,1,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,889,True,False,False
496,62,95,70,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1,genuine,902,True,False,False
325,101,230,20,0,0,1,0,1,1.0,0.0,1.0,1.0,0.0,0,genuine,2099,True,False,False
6877,247,838,1915,3,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1,genuine,1548,True,False,False
2647,604,296,170,0,1,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,1393,True,False,False
3719,220,198,255,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1,genuine,767,True,False,False
6629,286,127,1110,2,0,1,1,0,0.0,0.0,1.0,1.0,0.0,1,genuine,1235,True,False,False
894,55,65,43,1,0,1,0,1,0.0,0.0,0.0,1.0,0.0,1,genuine,539,True,False,False
31414,344,318,123,6,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2194,True,False,False
10171,369,259,3192,0,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1539,True,False,False
11133,6897,3735,22522,1,0,1,0,1,0.0,0.0,1.0,1.0,0.0,1,genuine,809,True,False,False
14376,363,306,1753,1,0,1,1,0,1.0,0.0,0.0,1.0,0.0,1,genuine,1690,True,False,False
30812,252,234,45,7,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2390,True,False,False
1311,169,342,347,1,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,938,True,False,False
177,41,154,39,0,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,2391,True,False,False
17348,321,231,7932,1,0,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,1194,True,False,False
176950,35379,587,241,485,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1,genuine,2454,True,False,False
265,26,107,442,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1090,True,False,False
2127,229,262,510,0,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1433,True,False,False
41271,15171,210,7721,174,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2126,True,False,False
1876,334,912,587,0,1,1,0,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2337,True,False,False
1197,28,98,223,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,461,True,False,False
1318,166,233,615,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,1,genuine,448,True,False,False
13209,204,115,3414,4,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1493,True,False,False
84124,1575,1601,9220,21,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1,genuine,1380,True,False,False
1410,844,1416,111,24,0,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2771,True,False,False
85,74,121,307,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1,genuine,287,True,False,False
25279,495,628,432,16,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2091,True,False,False
462,370,548,36,1,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,355,True,False,False
24063,662,208,56035,19,0,1,0,1,0.0,0.0,0.0,1.0,1.0,1,genuine,504,True,False,False
2449,148,134,495,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2415,True,False,False
19678,423,261,10626,4,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,1821,True,False,False
9510,1087,1096,4279,0,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1467,True,False,False
4353,157,168,2083,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1,genuine,839,True,False,False
2630,76,158,632,1,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1535,True,False,False
249449,5169,3418,14341,218,0,1,1,0,0.0,0.0,0.0,1.0,0.0,1,genuine,2457,True,False,False
24457,841,482,7231,1,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,916,True,False,False
32407,2418,2465,7282,90,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2370,True,False,False
79,8,24,23,0,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,537,True,False,False
1515,3656,238,24,14,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,594,True,False,False
361,60,223,99,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1,genuine,1586,True,False,False
2689,380,155,27,0,1,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,558,True,False,False
30259,1767,120,6774,14,1,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,531,True,False,False
8058,672,717,610,4,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1,genuine,2214,True,False,False
1382,520,1302,1143,1,1,1,0,0,1.0,0.0,0.0,1.0,0.0,1,genuine,722,True,False,False
26478,552,427,2975,0,0,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,1826,True,False,False
5352,384,187,877,2,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2441,True,False,False
52423,1940,305,14166,180,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2157,True,False,False
242,187,152,86,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1,genuine,320,True,False,False
2964,165,647,776,5,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,670,True,False,False
1975,527,1778,196,15,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,1969,True,False,False
125,296,435,1071,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1,genuine,742,True,False,False
160,165,574,31,1,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,2272,True,False,False
10423,169,313,6879,1,1,1,1,1,1.0,0.0,0.0,1.0,0.0,1,genuine,646,True,False,False
3517,274,635,1126,7,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,290,True,False,False
1926,341,294,1451,0,1,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1034,True,False,False
2391,148,258,943,0,0,1,1,1,1.0,0.0,0.0,1.0,0.0,1,genuine,1167,True,False,False
776,196,134,379,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,302,True,False,False
60715,616,604,3281,6,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1787,True,False,False
2178,93,210,88,1,1,1,0,1,0.0,0.0,1.0,1.0,1.0,1,genuine,709,True,False,False
6641,1471,1977,7841,52,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,3130,True,False,False
1296,351,422,682,0,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,1051,True,False,False
500,108,151,2027,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,genuine,679,True,False,False
162921,1249,1724,1794,56,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2504,True,False,False
23663,473,457,2988,2,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,518,True,False,False
94113,1357,520,91458,17,0,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,2160,True,False,False
7811,244,242,5385,3,0,1,1,1,0.0,0.0,1.0,0.0,0.0,1,genuine,1139,True,False,False
7051,189,206,2449,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,1,genuine,2246,True,False,False
5210,641,426,1678,1,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1754,True,False,False
711,49,205,74,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,1,genuine,679,True,False,False
24257,510,322,8884,2,0,1,1,0,0.0,0.0,1.0,1.0,1.0,0,genuine,1373,True,False,False
45,41,219,76,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,genuine,283,True,False,False
80156,1962,1094,1873,7,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2093,True,False,False
2685,167,156,1888,1,0,1,1,0,0.0,0.0,1.0,1.0,1.0,0,genuine,1303,True,False,False
4952,22,301,150,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,919,True,False,False
160869,1592,1303,631,19,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2332,True,False,False
13,13,51,20,1,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,892,True,False,False
61850,836,688,872,1,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1658,True,False,False
78397,1712,1009,4558,10,0,1,1,0,0.0,0.0,1.0,0.0,0.0,1,genuine,1586,True,False,False
5297,1331,1943,63,44,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2493,True,False,False
4156,1242,1999,59,3,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,1061,True,False,False
22364,1236,624,16114,9,0,1,0,1,0.0,0.0,1.0,1.0,1.0,1,genuine,685,True,False,False
23056,433,288,27152,0,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1224,True,False,False
12230,1203,2001,5542,4,0,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,1258,True,False,False
26559,326,264,7777,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,903,True,False,False
23645,1008,1756,897,66,1,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,2554,True,False,False
94769,1477,908,126,1,0,1,1,0,1.0,0.0,0.0,1.0,0.0,0,genuine,1991,True,False,False
37857,372,547,663,6,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2442,True,False,False
5279,244,275,707,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,0,genuine,1118,True,False,False
1002,302,275,1075,2,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1660,True,False,False
104,122,435,60,1,1,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,1138,True,False,False
2348,193,191,387,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0,genuine,1721,True,False,False
32443,491,208,5631,1,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1379,True,False,False
4265,171,129,1838,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,genuine,652,True,False,False
2117,370,330,4254,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1,genuine,717,True,False,False
14524,349,333,642,1,0,1,0,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1608,True,False,False
1049,53,186,439,0,1,1,0,1,1.0,0.0,1.0,1.0,0.0,0,genuine,737,True,False,False
10383,374,372,137,15,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2476,True,False,False
125,23,84,18,0,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1145,True,False,False
306,330,336,43,7,1,1,0,1,0.0,0.0,0.0,1.0,0.0,1,genuine,458,True,False,False
16064,41442,4967,3079,80,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2455,True,False,False
6509,315,317,4396,3,0,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,2248,True,False,False
19697,746,237,66,25,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,2893,True,False,False
1916,221,265,2412,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,1,genuine,1234,True,False,False
8158,158,347,5043,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0,1,genuine,1257,True,False,False
107367,2856,265,14885,24,1,1,1,0,0.0,0.0,1.0,0.0,1.0,0,genuine,1393,True,False,False
62631,52287,209,19,1342,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,genuine,1958,True,False,False
48397,1824,758,12787,8,0,1,1,0,1.0,0.0,0.0,1.0,0.0,1,genuine,536,True,False,False
15449,572,481,4311,0,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,1090,True,False,False
